方名,网址,状态码,正文命中,页面摘要
当归六黄汤,https://www.yixue.com/%E5%BD%93%E5%BD%92%E5%85%AD%E9%BB%84%E6%B1%A4,200,是,当归六黄汤 - 医学百科；当归六黄汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 当归六黄汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 《 兰室秘藏 》 目录 1 分类 2 组成 3 功用 4 主治 5 用法 6 禁忌 7 方解 8 化裁 9 临床应用 10 附注 11 文献 12 方论 分类 清热剂 - 清虚热 组成 当归 （6克）
定经汤,https://www.yixue.com/%E5%AE%9A%E7%BB%8F%E6%B1%A4,200,是,定经汤_定经汤的作用_定经汤说明书_定经汤的功效_中药定经汤配方_医学百科 - 医学百科；定经汤_定经汤的作用_定经汤说明书_定经汤的功效_中药定经汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 定经汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《傅青主女科》卷上:定经汤 2 《傅青主妇科》卷上:定经汤 3 中药方专题 3.1 按功效分类的常用方剂 3.2 中药方大全 按拼
黄芩汤,https://www.yixue.com/%E9%BB%84%E8%8A%A9%E6%B1%A4,200,是,黄芩汤 - 医学百科；黄芩汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 黄芩汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 来源： 张仲景 。 类别： 清热 类 主治：太阳、少阳二经 合病 下利。 配方： 黄芩 27克， 白芍 、 甘草 各16克，加大枣12枚。水煎。 方解：黄芩可以清热，此方是由于太阳、少阳二 经脉 病邪 导致，
橘皮竹茹汤,https://www.yixue.com/%E6%A9%98%E7%9A%AE%E7%AB%B9%E8%8C%B9%E6%B1%A4,200,是,橘皮竹茹汤 - 医学百科；橘皮竹茹汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 橘皮竹茹汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 总 结：呕逆 呃逆 组 成： 半夏 、 橘皮 、 枇杷叶 、 麦冬 、 竹茹 、 赤茯苓 、 人参 、 甘草 主 治：1.治久病虚羸，呕逆不已。 2.亦治吐利后 胃虚 呃逆。 加 减：(1) 胃寒 者
两地汤,https://www.yixue.com/%E4%B8%A4%E5%9C%B0%E6%B1%A4,200,是,两地汤_两地汤的作用_两地汤说明书_两地汤的功效_中药两地汤配方_医学百科 - 医学百科；两地汤_两地汤的作用_两地汤说明书_两地汤的功效_中药两地汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 两地汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《傅青主女科》卷上:两地汤 2 《辨证录》卷三:两地汤 3 中药方专题 3.1 按功效分类的常用方剂 3.2 中药方大全 按拼音查
清骨散,https://www.yixue.com/%E6%B8%85%E9%AA%A8%E6%95%A3,200,是,"清骨散 - 医学百科；清骨散 - 医学百科 匿名 未登录 登录 医学百科 搜索 清骨散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【来源】《证治准绳.类方》卷一。 【组成】 银柴胡 5克, 胡黄连 、 秦艽 、 鳖甲 、 地骨皮 、 青蒿 、 知母 各3克, 甘草 2克。 【用法】水煎服;或研末,每日叁次,每次9克,冲服。 【功用】 清"
四妙勇安汤,https://www.yixue.com/%E5%9B%9B%E5%A6%99%E5%8B%87%E5%AE%89%E6%B1%A4,200,是,四妙勇安汤 - 医学百科；四妙勇安汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 四妙勇安汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 本方由 金银花 、 玄参 、 当归 、 甘草 四味药物组成。用于脱疽(即 血栓闭塞性脉管炎 )，证见患处黯红，微热微肿，痛甚，烦热 口渴 ，或则溃烂，脓水淋漓， 舌红 脉数 等。功效 清热解毒 ， 活
托里消毒散,https://www.yixue.com/%E6%89%98%E9%87%8C%E6%B6%88%E6%AF%92%E6%95%A3,200,是,托里消毒散_托里消毒散的作用_托里消毒散说明书_托里消毒散的功效_中药托里消毒散配方_医学百科 - 医学百科；托里消毒散_托里消毒散的作用_托里消毒散说明书_托里消毒散的功效_中药托里消毒散配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 托里消毒散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《校注妇人良方》卷二十四:托里消毒散 2 《外科正宗》卷一:托里消毒散 3 中药方专题 3.1 按功效分类
养精种玉汤,https://www.yixue.com/%E5%85%BB%E7%B2%BE%E7%A7%8D%E7%8E%89%E6%B1%A4,200,是,养精种玉汤_养精种玉汤的作用_养精种玉汤说明书_养精种玉汤的功效_中药养精种玉汤配方_医学百科 - 医学百科；养精种玉汤_养精种玉汤的作用_养精种玉汤说明书_养精种玉汤的功效_中药养精种玉汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 养精种玉汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 大熟地 30克（九蒸） 当归 15克（酒洗） 白芍 15克（酒炒） 山萸肉 15克（蒸熟） 【功效与作用】
补肾地黄丸,https://www.yixue.com/%E8%A1%A5%E8%82%BE%E5%9C%B0%E9%BB%84%E4%B8%B8,200,是,补肾地黄丸_补肾地黄丸的作用_补肾地黄丸说明书_补肾地黄丸的功效_中药补肾地黄丸配方_医学百科 - 医学百科；补肾地黄丸_补肾地黄丸的作用_补肾地黄丸说明书_补肾地黄丸的功效_中药补肾地黄丸配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 补肾地黄丸 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《活幼心书》卷下:补肾地黄丸 2 《丹溪心法附余》卷十三:补肾地黄丸 3 《保命歌括》卷三十四:补肾地黄丸
大陷胸汤,https://www.yixue.com/%E5%A4%A7%E9%99%B7%E8%83%B8%E6%B1%A4,200,是,大陷胸汤 - 医学百科；大陷胸汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 大陷胸汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【方名】 大陷胸汤 【出处】 《 伤寒论 》 【分类】 泻下剂 - 寒下 【组成】 大黄（去皮，10克） 芒硝 （10克） 甘遂 （1克） 【方诀】大陷胸汤治 结胸 ，心坚硬满便难通 泻热 逐水 为峻剂，
解语丹,https://www.yixue.com/%E8%A7%A3%E8%AF%AD%E4%B8%B9,200,是,解语丹_解语丹的作用_解语丹说明书_解语丹的功效_中药解语丹配方_医学百科 - 医学百科；解语丹_解语丹的作用_解语丹说明书_解语丹的功效_中药解语丹配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 解语丹 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 白附子 （炮） 石菖蒲 远志 肉 天麻 全蝎 （去毒，酒炒） 羌活 僵蚕 各30克 木香 15克 牛胆 南星 30克 【制法】 上
救急稀涎散,https://www.yixue.com/%E6%95%91%E6%80%A5%E7%A8%80%E6%B6%8E%E6%95%A3,200,是,救急稀涎散 - 医学百科；救急稀涎散 - 医学百科 匿名 未登录 登录 医学百科 搜索 救急稀涎散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 〖方源〗 《圣济总录》 〖组成〗 猪牙皂 角 如猪牙，肥实不蛀者，削去黑皮，四挺 ［15g］ 白矾 一两，通莹者 ［30g］ 〖用法〗 上二味，为细末，再研极细为散。如有患者，可服半钱［1g］，重者三
绿风羚羊饮,https://www.yixue.com/%E7%BB%BF%E9%A3%8E%E7%BE%9A%E7%BE%8A%E9%A5%AE,200,是,绿风羚羊饮_绿风羚羊饮的作用_绿风羚羊饮说明书_绿风羚羊饮的功效_中药绿风羚羊饮配方_医学百科 - 医学百科；绿风羚羊饮_绿风羚羊饮的作用_绿风羚羊饮说明书_绿风羚羊饮的功效_中药绿风羚羊饮配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 绿风羚羊饮 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 黑参 6克 防风 6克 茯苓 6克 知母 6克 黄芩 2克 细辛 3克 桔梗 6克 羚羊角 3克 车前子 
内补丸,https://www.yixue.com/%E5%86%85%E8%A1%A5%E4%B8%B8,200,是,内补丸_内补丸的作用_内补丸说明书_内补丸的功效_中药内补丸配方_医学百科 - 医学百科；内补丸_内补丸的作用_内补丸说明书_内补丸的功效_中药内补丸配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 内补丸 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《太平圣惠方》卷五十九:内补丸 2 《圣济总录》卷五十二:内补丸 3 中药方专题 3.1 按功效分类的常用方剂 3.2 中药方大全
清气化痰丸,https://www.yixue.com/%E6%B8%85%E6%B0%94%E5%8C%96%E7%97%B0%E4%B8%B8,200,是,清气化痰丸_清气化痰丸说明书_清气化痰丸的作用_清气化痰丸副作用_清气化痰丸是什么_医学百科 - 医学百科；清气化痰丸_清气化痰丸说明书_清气化痰丸的作用_清气化痰丸副作用_清气化痰丸是什么_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 清气化痰丸 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 清气化痰丸 ， 清肺化痰 。用于 肺热咳嗽 ， 痰多 黄稠，胸 脘 满闷。 本药品被归类到 其它呼吸系统疾病 、 清热
胃苓汤,https://www.yixue.com/%E8%83%83%E8%8B%93%E6%B1%A4,200,是,胃苓汤 - 医学百科；胃苓汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 胃苓汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 功效：主治面色虚浮晦暗 纳呆 形寒舌胖有齿痕苔白腻 服用方法：水煎 温服 药品出处：《 丹溪心法 》加 桂枝 灵仙 木瓜 络石 原料： 苍术 ：10g， 厚朴 ：10g， 陈皮 ：5g， 甘草 ：5g， 白术
犀黄丸,https://www.yixue.com/%E7%8A%80%E9%BB%84%E4%B8%B8,200,是,犀黄丸 - 医学百科；犀黄丸 - 医学百科 匿名 未登录 登录 医学百科 搜索 犀黄丸 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【 来源 】 外科 全生集 ， 王维德， 1740 【 异名 】 西黄丸 (《治疗汇要》卷下)。 【 处方 】 牛黄 （别名：丑宝、 西黄 、犀黄）0.9克 乳香 （去油） 没药（去油）各30克（研极细末） 
增液汤,https://www.yixue.com/%E5%A2%9E%E6%B6%B2%E6%B1%A4,200,是,增液汤 - 医学百科；增液汤 - 医学百科 匿名 未登录 登录 医学百科 搜索 增液汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 增液汤 【来源】 《 温病条辨 》 【组成】 玄参 一两(30g) 麦冬 连心，八钱(24g) 细 生地 八钱(24g) ， 肉桂 2g（热，可中和前面的寒） 具体用法 水八杯，煮取三杯， 口干 则与饮令尽；
正气天香散,https://www.yixue.com/%E6%AD%A3%E6%B0%94%E5%A4%A9%E9%A6%99%E6%95%A3,200,是,正气天香散 - 医学百科；正气天香散 - 医学百科 匿名 未登录 登录 医学百科 搜索 正气天香散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 方 名： 正气天香散 （经产之剂） 总 结： 气滞 经迟 编 号： 029 组 成： 乌药 、 陈皮 、 苏叶 、 香附 、 干姜 主 治： 治一切诸气，气上凑心，心胸攻筑，肋刺痛。月水不调。 归 
止嗽散,https://www.yixue.com/%E6%AD%A2%E5%97%BD%E6%95%A3,200,是,止嗽散 - 医学百科；止嗽散 - 医学百科 匿名 未登录 登录 医学百科 搜索 止嗽散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 止嗽散 药方 止嗽散药方（一）∶《 医学心悟 》卷三 ［来源］ 《医学心悟》卷三。 ［组成］ 桔梗 (炒)， 荆芥 ， 紫菀 (蒸)， 百部(蒸)， 白前 (蒸)，各1kg（各二斤）； 甘草 (炒)375g(
枳术丸,https://www.yixue.com/%E6%9E%B3%E6%9C%AF%E4%B8%B8,200,是,枳术丸 - 医学百科；枳术丸 - 医学百科 匿名 未登录 登录 医学百科 搜索 枳术丸 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【来源】中国药典2000年版一部 【 中药 名称】 枳术丸 【拼音名】 Zhizhu Wan 【性状】 本品为褐色的 水丸 ；气微香，味微苦。 【鉴别】(1) 取本品，置 显微镜 下观察：草酸钙方晶成片存在于
逐寒荡惊汤,https://www.yixue.com/%E9%80%90%E5%AF%92%E8%8D%A1%E6%83%8A%E6%B1%A4,200,是,逐寒荡惊汤_逐寒荡惊汤的作用_逐寒荡惊汤说明书_逐寒荡惊汤的功效_中药逐寒荡惊汤配方_医学百科 - 医学百科；逐寒荡惊汤_逐寒荡惊汤的作用_逐寒荡惊汤说明书_逐寒荡惊汤的功效_中药逐寒荡惊汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 逐寒荡惊汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 胡椒 3克（打） 炮姜 3克 肉桂 3克 【功效与作用】 治小儿体弱久病，或痘疹后误服寒凉转为慢惊者。 【
助阳活血汤,https://www.yixue.com/%E5%8A%A9%E9%98%B3%E6%B4%BB%E8%A1%80%E6%B1%A4,404,否,404；
大半夏汤,https://www.yixue.com/%E5%A4%A7%E5%8D%8A%E5%A4%8F%E6%B1%A4,200,是,大半夏汤_大半夏汤的作用_大半夏汤说明书_大半夏汤的功效_中药大半夏汤配方_医学百科 - 医学百科；大半夏汤_大半夏汤的作用_大半夏汤说明书_大半夏汤的功效_中药大半夏汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 大半夏汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 唐.孙思邈《千金翼方》:大半夏汤 2 《金匮要略》卷中:大半夏汤 3 《备急千金要方》卷十六:大半夏汤 4 《得效》卷
桂麝散,https://www.yixue.com/%E6%A1%82%E9%BA%9D%E6%95%A3,200,是,桂麝散_桂麝散的作用_桂麝散说明书_桂麝散的功效_中药桂麝散配方_医学百科 - 医学百科；桂麝散_桂麝散的作用_桂麝散说明书_桂麝散的功效_中药桂麝散配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 桂麝散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【处方】 麻黄 15克 细辛 15克 肉桂 30克 牙皂 9克 生 半夏 24克 丁香 30克 南星 24克 麝香 1.8克 冰片 1.2克
活血散瘀汤,https://www.yixue.com/%E6%B4%BB%E8%A1%80%E6%95%A3%E7%98%80%E6%B1%A4,200,是,活血散瘀汤_活血散瘀汤的作用_活血散瘀汤说明书_活血散瘀汤的功效_中药活血散瘀汤配方_医学百科 - 医学百科；活血散瘀汤_活血散瘀汤的作用_活血散瘀汤说明书_活血散瘀汤的功效_中药活血散瘀汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 活血散瘀汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《外科正宗》卷三:活血散瘀汤 2 《中医外伤科学》:活血散瘀汤 3 《赵炳南临床经验集》:活血散瘀汤 4 
加味二陈汤,https://www.yixue.com/%E5%8A%A0%E5%91%B3%E4%BA%8C%E9%99%88%E6%B1%A4,200,是,加味二陈汤_加味二陈汤的作用_加味二陈汤说明书_加味二陈汤的功效_中药加味二陈汤配方_医学百科 - 医学百科；加味二陈汤_加味二陈汤的作用_加味二陈汤说明书_加味二陈汤的功效_中药加味二陈汤配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 加味二陈汤 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 易玉泉方:加味二陈汤 2 《济阳纲目》卷一○五:加味二陈汤 3 《济阳纲目》卷七十三:加味二陈汤 4 《济
金沸草散,https://www.yixue.com/%E9%87%91%E6%B2%B8%E8%8D%89%E6%95%A3,200,是,金沸草散 - 医学百科；金沸草散 - 医学百科 匿名 未登录 登录 医学百科 搜索 金沸草散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 金沸草散（除痰之剂） 2 金沸草散-类证活人书 3 金沸草散-博济方 4 金沸草散-普济方 5 金沸草散-《便览》卷二。 金沸草散 （除痰之剂） 总 结： 伤风 欬嗽 编 号：007 组 成： 
补筋丸,https://www.yixue.com/%E8%A1%A5%E7%AD%8B%E4%B8%B8,200,是,补筋丸_补筋丸的作用_补筋丸说明书_补筋丸的功效_中药补筋丸配方_医学百科 - 医学百科；补筋丸_补筋丸的作用_补筋丸说明书_补筋丸的功效_中药补筋丸配方_医学百科 - 医学百科 匿名 未登录 登录 医学百科 搜索 补筋丸 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 目录 1 《医宗金鉴》卷七十三:补筋丸 2 《金鉴》卷八十九:补筋丸 3 中药方专题 3.1 按功效分类的常用方剂 3.2 中药方大全 按拼
沉香散,https://www.yixue.com/%E6%B2%89%E9%A6%99%E6%95%A3,200,是,沉香散 - 医学百科；沉香散 - 医学百科 匿名 未登录 登录 医学百科 搜索 沉香散 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 【来源】《魏氏家藏方》卷九。 【组成】 沉香 (不见火) 木香 (不见火) 枳壳 (麸炒，去瓤)各15克 萝卜 子30克(炒) 【用法】上药哎咀。每服6克，用冰225毫升，加 生姜 5片，煎至160毫升，去滓
丹参饮,https://www.yixue.com/%E4%B8%B9%E5%8F%82%E9%A5%AE,200,是,丹参饮 - 医学百科；丹参饮 - 医学百科 匿名 未登录 登录 医学百科 搜索 丹参饮 来自医学百科 名字空间 页面 更多 更多 语言 页面选项 Read 查看源代码 历史 〖方源〗 《时方歌括》卷下。 〖组成〗 丹参 一两［30g］ 檀香 砂仁 各一钱半［4.5g］ 〖用法〗 以水一杯，煎七分服。 〖主治〗 血瘀 气滞，心胃诸痛。 〖功用〗 活血祛瘀 ， 行气止痛 。 〖运用〗
