清单序号,原方名,规范方名,出处,主治原文,组成,候选证型,候选证型ID,裁定状态,核定证型,核定证型ID,裁定依据,证据层级,全网资料入口,联网补强状态,需医生最终签字,数据质量备注,逐方网页证据,逐方网页核验
11,三化汤,三化汤,《素问病机气宜保命集》,中风外有六经之形证，先以加减续命汤，随证治之，内有便溺之阻格，复以三化汤主之。,厚朴、大黄、枳实、羌活,内风,TCM-SYNDROME-70CC701C322B,采纳,阳明腑实,TCM-SYNDROME-50B50D4BCFB5,联网纠偏复审:邪气内实、二便不通，大黄枳朴通腑泄热，属里实热结。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E4%B8%89%E5%8C%96%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E4%B8%89%E5%8C%96%E6%B1%A4,页面正文命中方名
12,升陷汤,升陷汤,《医学衷中参西录》,治胸中大气下陷，气短不足以息……,生黄芪、知母、柴胡、桔梗、升麻,上气不足,TCM-SYNDROME-59744BBF2DEE,采纳,气陷,TCM-SYNDROME-359B6446B174,联网纠偏复审:黄芪为君益气升陷，治胸中大气下陷。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%8D%87%E9%99%B7%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E5%8D%87%E9%99%B7%E6%B1%A4,页面正文命中方名
13,香苏散,香苏散,《太平惠民和剂局方》,治四时瘟疫、伤寒。,香附子、紫苏叶、甘草、陈皮,太阳伤寒,TCM-SYNDROME-640B34B4B62A,采纳,风寒束表,TCM-SYNDROME-7969447240D9,联网纠偏复审:疏风散寒兼理气，治四时感冒风寒。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%A6%99%E8%8B%8F%E6%95%A3,经典名方定向联网复审,是,,https://www.yixue.com/%E9%A6%99%E8%8B%8F%E6%95%A3,页面正文命中方名
14,枳实芍药散,枳实芍药散,《金匮要略》,产后腹痛，烦满不得卧，枳实芍药散主之。,枳实、芍药,实,TCM-SYNDROME-0FA04ADF7214,采纳,气滞血瘀,qi_stagnation_blood_stasis,联网纠偏复审:枳实破气、芍药和血，气滞血郁腹痛为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%9E%B3%E5%AE%9E%E8%8A%8D%E8%8D%AF%E6%95%A3,经典名方定向联网复审,是,,https://www.yixue.com/%E6%9E%B3%E5%AE%9E%E8%8A%8D%E8%8D%AF%E6%95%A3,页面正文命中方名
15,达原饮,达原饮,《瘟疫论》,瘟疫初起先憎寒而后发热，日后但热而无憎寒也，初起二三日，其脉不浮不沉而数，昼夜发热，日晡益甚，头疼身痛，其时邪在伏脊之前，肠胃之后。虽有头疼身痛，此邪热浮越于经，不可认为伤寒表证，辄用麻黄、桂枝之类强发其汗。此邪不在经，汗之徒伤表气，热亦不减。又不可下，此邪不在里，下之徒伤胃气，其渴愈甚。宜达原饮。,槟榔、厚朴、草果仁、知母、芍药、黄芩、甘草,,,采纳,湿热内蕴,TCM-SYNDROME-B2E08C04E2E2,联网纠偏复审:开达膜原辟秽化浊，湿热秽浊为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%BE%BE%E5%8E%9F%E9%A5%AE,经典名方定向联网复审,是,,https://www.yixue.com/%E8%BE%BE%E5%8E%9F%E9%A5%AE,页面正文命中方名
16,大黄附子汤,大黄附子汤,《金匮要略》,胁下偏痛，发热，其脉紧弦，此寒也，以温药下之，宜大黄附子汤。,大黄、附子、细辛,,,采纳,寒邪凝滞,TCM-SYNDROME-3C8E2B57694A,联网纠偏复审:温下寒积，寒实内结为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%A4%A7%E9%BB%84%E9%99%84%E5%AD%90%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E5%A4%A7%E9%BB%84%E9%99%84%E5%AD%90%E6%B1%A4,页面正文命中方名
17,当归六黄汤,当归六黄汤,《兰室秘藏》,治盗汗之圣药也。,当归、生地黄、熟地黄、黄柏、黄芩、黄连、黄芪,,,采纳,阴虚火旺,yin_deficiency_fire,联网纠偏复审:滋阴泻火固表，阴虚火扰为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%BD%93%E5%BD%92%E5%85%AD%E9%BB%84%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E5%BD%93%E5%BD%92%E5%85%AD%E9%BB%84%E6%B1%A4,页面正文命中方名
18,定经汤,定经汤,《傅青主女科》,妇人经来断续，或前或后无定期。,菟丝子、白芍、当归、大熟地、山药、白茯苓、芥穗、柴胡,,,采纳,肝郁肾虚,TCM-SYNDROME-48EB4AB8B06F,联网纠偏复审:舒肝补肾养血，肝肾气郁。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%AE%9A%E7%BB%8F%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E5%AE%9A%E7%BB%8F%E6%B1%A4,页面正文命中方名
19,黄芩汤,黄芩汤,《伤寒论》,泄泻或痢疾。身热不恶寒，腹痛，口苦咽干，舌苔黄，脉弦数。；干呕下利。,黄芩、芍药、甘草、大枣,,,采纳,胆热,TCM-SYNDROME-B7C52B4502EF,联网纠偏复审:清胆热止利，胆热下迫为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%BB%84%E8%8A%A9%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E9%BB%84%E8%8A%A9%E6%B1%A4,页面正文命中方名
20,橘皮竹茹汤,橘皮竹茹汤,《金匮要略》,哕逆者，橘皮竹茹汤主之。,橘皮、竹茹、大枣、生姜、甘草、人参,,,采纳,胃气虚；胃热,TCM-SYNDROME-A132B90612C7；TCM-SYNDROME-9963232F899F,联网纠偏复审:补虚清热降逆，胃虚有热为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%A9%98%E7%9A%AE%E7%AB%B9%E8%8C%B9%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E6%A9%98%E7%9A%AE%E7%AB%B9%E8%8C%B9%E6%B1%A4,页面正文命中方名
21,两地汤,两地汤,《傅青主女科》,先期经来只1-2点者。,大生地、元参、白芍药、麦冬肉、地骨皮、阿胶,,,采纳,阴虚血热,TCM-SYNDROME-868A94196EAA,联网纠偏复审:滋阴清热凉血，阴虚血热为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E4%B8%A4%E5%9C%B0%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E4%B8%A4%E5%9C%B0%E6%B1%A4,页面正文命中方名
22,清骨散,清骨散,《证治准绳》,专退骨蒸劳热。,银柴胡、胡黄连、秦艽、鳖甲、地骨皮、青蒿、知母、甘草,,,采纳,阴虚热盛,TCM-SYNDROME-E55C29D52D42,专退骨蒸劳热，属阴虚内热。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%B8%85%E9%AA%A8%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%B8%85%E9%AA%A8%E6%95%A3,页面正文命中方名
23,四妙勇安汤,四妙勇安汤,《验方新编》,脱骨疽。,金银花、元参、当归、甘草,,,采纳,热毒炽盛,TCM-SYNDROME-C0CF9C4F077A,联网纠偏复审:清热解毒活血，热毒炽盛为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%9B%9B%E5%A6%99%E5%8B%87%E5%AE%89%E6%B1%A4,经典名方定向联网复审,是,,https://www.yixue.com/%E5%9B%9B%E5%A6%99%E5%8B%87%E5%AE%89%E6%B1%A4,页面正文命中方名
24,托里消毒散,托里消毒散,《外科正宗》,痈疽已成，不得内消者。,人参、川芎、白芍、黄芪、当归、白术、茯苓、金银花、白芷、甘草、皂角针、桔梗,,,采纳,正虚邪恋,TCM-SYNDROME-F70AC00706BA,联网纠偏复审:参术芪归补托、银翘芷防透毒，正虚邪恋为本。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%89%98%E9%87%8C%E6%B6%88%E6%AF%92%E6%95%A3,经典名方定向联网复审,是,,https://www.yixue.com/%E6%89%98%E9%87%8C%E6%B6%88%E6%AF%92%E6%95%A3,页面正文命中方名
25,养精种玉汤,养精种玉汤,《傅青主女科》,妇人身瘦不孕，一交男子，即卧病终朝。,大熟地、当归、白芍、山萸肉,,,采纳,精血亏虚,TCM-SYNDROME-9D656D61A13C,身瘦不孕，交后卧病，精血亏虚。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%85%BB%E7%B2%BE%E7%A7%8D%E7%8E%89%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E5%85%BB%E7%B2%BE%E7%A7%8D%E7%8E%89%E6%B1%A4,页面正文命中方名
26,补肾地黄丸,补肾地黄丸,《医宗金鉴·幼科心法要诀》,肾气亏损，脑髓不足之小儿解颅，形体瘦弱，目多白睛，满面愁烦,熟地黄、泽泻、牡丹皮、山萸肉、牛膝、麸炒山药、鹿茸片、茯苓,肾气不足；肾气虚；肾气不充,TCM-SYNDROME-8706B2AF37CC；TCM-SYNDROME-B7B9EF78361F；TCM-SYNDROME-ACCB01482369,采纳,肾气不足,TCM-SYNDROME-8706B2AF37CC,主治“肾气亏损”直接对应肾气不充，脑髓不足因之。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%A1%A5%E8%82%BE%E5%9C%B0%E9%BB%84%E4%B8%B8,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E8%A1%A5%E8%82%BE%E5%9C%B0%E9%BB%84%E4%B8%B8,页面正文命中方名
27,大陷胸汤,大陷胸汤,《伤寒论》,结胸证，不大便五六日，舌上燥而渴，日晡小有潮热，从心下至少腹硬满而痛不可近，或短气烦躁，脉沉而紧，按之有力者,大黄、芒硝、醋甘遂,心肺实热；上焦燥热；气滞热壅,TCM-SYNDROME-BD2315A1C69A；TCM-SYNDROME-4BA5E758CE6C；TCM-SYNDROME-62BAF46EC3EE,采纳,热实结胸,TCM-SYNDROME-AE18CA3BA227,结胸、心下硬满痛、不大便、潮热、脉沉紧，水热互结之象。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%A4%A7%E9%99%B7%E8%83%B8%E6%B1%A4,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E5%A4%A7%E9%99%B7%E8%83%B8%E6%B1%A4,页面正文命中方名
28,解语丹,解语丹,《医学心悟》,心脾中风，痰阻廉泉，舌强不语，半身不遂,制白附子、石菖蒲、制远志、姜天麻、全蝎、羌活、胆南星、木香、甘草,痰阻心窍；痰迷心窍；肝风痰浊,TCM-SYNDROME-758B98B3583D；TCM-SYNDROME-5845113DEF18；TCM-SYNDROME-D98C827F0AC5,采纳,风痰阻络,TCM-SYNDROME-665863B793C2,心脾中风，痰阻廉泉，舌强不语，风痰上阻舌窍之络。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E8%A7%A3%E8%AF%AD%E4%B8%B9,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E8%A7%A3%E8%AF%AD%E4%B8%B9,页面正文命中方名
29,救急稀涎散,救急稀涎散,《圣济总录》,中风闭证，痰涎壅盛，痰声漉漉，不省人事，不能言语，但不遗尿，脉象滑实有力者，亦治喉痹,猪牙皂、白矾,风痰闭神；风痰；痰气壅实,TCM-SYNDROME-BBC7443B307C；TCM-SYNDROME-C8D18E226DEA；TCM-SYNDROME-00DFD47644F4,采纳,风痰闭神,TCM-SYNDROME-BBC7443B307C,中风闭证，痰涎壅盛，不省人事，脉滑实，痰闭心神。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%95%91%E6%80%A5%E7%A8%80%E6%B6%8E%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%95%91%E6%80%A5%E7%A8%80%E6%B6%8E%E6%95%A3,页面正文命中方名
30,绿风羚羊饮,绿风羚羊饮,《医宗金鉴》,绿风内障，头旋额痛，鼻、目牵引作痛,玄参、防风、茯苓、知母、黄芩片、细辛、桔梗、羚羊角片、车前子、大黄,肝胆风火攻目；肝经风热犯目；肝经风热,TCM-SYNDROME-77BEB86B459C；TCM-SYNDROME-627FC8C554FD；TCM-SYNDROME-FE3E17588BC6,采纳,肝胆风火攻目,TCM-SYNDROME-77BEB86B459C,绿风内障，头旋额痛，目牵引痛，风火上攻清窍。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%BB%BF%E9%A3%8E%E7%BE%9A%E7%BE%8A%E9%A5%AE,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E7%BB%BF%E9%A3%8E%E7%BE%9A%E7%BE%8A%E9%A5%AE,页面正文命中方名
