序号,方名,出处,推导流派,原确认方式,核定建议,核定方式,功效,主治,核定依据,证据层级,证据网址,需医生最终签字,备注
30,半夏厚朴汤,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
31,半夏泻心汤,《伤寒论》,经方思路,规则级,是,规则级,寒热平调；消痞散结,寒热中阻，胃气不和，心下痞满不痛，或干呕，或呕吐，肠鸣下利，舌苔薄黄而腻，脉弦数者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
32,半苓汤,《温病条辨》,温病思路,规则级,是,规则级,,,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
33,厚朴七物汤,《金匮要略》,经方思路,规则级,是,规则级,解肌发表；行气除满,外感表证未罢，里实已成。腹满，大便不通，发热，脉浮而数,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
34,厚朴三物汤,《金匮要略》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
35,厚朴麻黄汤,《金匮要略》,经方思路,规则级,是,规则级,胃气虚寒之呃逆,寒饮化热饮邪上逆,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
36,右归丸,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,温补肾阳；填精益髓,肾阳不足，命门火衰，神疲气怯，畏寒肢冷，阳痿遗精，不能生育，腰膝酸软，小便自遗，肢节痹痛，周身浮肿，或火不能生土，脾胃虚寒，饮食少进，或呕恶膨胀，或翻胃噎膈，或脐腹多痛，或大便不实，泻痢频作,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：温补肾阳、填精益髓、肾阳不足，命门火衰，神疲气怯，畏寒肢冷，阳痿遗精，不能生育，腰膝酸软，小便自遗，肢节痹痛，周身浮肿，或火不能生土，脾胃虚寒，饮食少进，或呕恶膨胀，或翻胃噎膈，或,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
37,右归饮,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,温补肾阳,肾阳不足，阳衰阴胜，腰膝酸痛，神疲乏力，畏寒肢冷，咳喘，泄泻，脉弱，以及产妇虚火不归元而发热者,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：温补肾阳、肾阳不足，阳衰阴胜，腰膝酸痛，神疲乏力，畏寒肢冷，咳喘，泄泻，脉弱，以及产妇虚火不归元而发热者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
38,吴茱萸汤,《伤寒论》,经方思路,规则级,是,规则级,温中补虚；降逆止呕,胃中虚寒，食谷欲呕，或呕而胸满，少阴吐利，手足逆冷，烦躁欲死，厥阴头痛，吐涎沫,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
39,咳血方,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,清肝宁肺；凉血止血,肝火犯肺之咳血证,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：清肝宁肺、凉血止血、肝火犯肺之咳血证,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
40,四味回阳饮,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,补气；回阳；救脱,元阳虚脱，危在顷刻者,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：补气、回阳、救脱、元阳虚脱，危在顷刻者,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
41,四逆散,《伤寒论》,经方思路,规则级,是,规则级,透邪解郁；疏肝理脾,少阴病，阳郁于里，致患热厥，以及肝失条达，气郁致厥，手足厥冷，或咳，或悸，或小便不利，或腹中痛，或泄痢下重，脉弦细,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
42,四逆汤,《伤寒论》,经方思路,规则级,是,规则级,回阳救逆,少阴病，四肢厥逆，恶寒踡卧，呕吐腹痛，下利清谷，神衰欲寐，以及太阳病误汗亡阳，脉沉迟微细者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
43,回阳救急汤,《伤寒论》,经方思路,规则级,是,规则级,回阳固脱；益气生脉,寒邪直中阴经，恶寒，四肢冷厥，战栗腹疼，吐泻不渴，踡卧沉重，或手指甲唇青，或口吐涎沫，或脉来沉迟无力,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
44,固阴煎,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,补益肝肾；固涩滑脱,肝肾亏虚之遗泄，崩带，经多，胎动，产后恶露不止，妇人阴挺,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：补益肝肾、固涩滑脱、肝肾亏虚之遗泄，崩带，经多，胎动，产后恶露不止，妇人阴挺,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
45,增液承气汤,《温病条辨》,温病思路,规则级,是,规则级,血虚肠燥便秘证,阳明温病，热结阴亏，燥屎不行，下之不通，津液不足，无水舟停，服增液汤不下者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
46,增液汤,《温病条辨》,温病思路,规则级,是,规则级,增液润燥,阳明温病，无上焦证，数日不大便，其阴素虚，不可用承气汤者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
47,大半夏汤,《金匮要略》,经方思路,规则级,是,规则级,和胃降逆；益气润燥,胃反呕吐，朝食暮吐，或暮食朝吐,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
48,大安丸,《丹溪心法》,滋阴/丹溪思路,逐首勾选,否,逐首建议,消食和胃健脾,食积。脾虚食滞不化,虽载于《丹溪心法》或附余，但核心为消食、健脾、温肾、祛湿、逐痰或解毒，不宜按‘滋阴/丹溪’加权：消食和胃健脾、食积。脾虚食滞不化,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
49,大定风珠,《温病条辨》,温病思路,规则级,是,规则级,滋阴熄风,下焦温病，热邪久羁，吸烁真阴，神倦瘈疭，脉气虚弱，舌绛苔少，时时欲脱者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
50,大建中汤,《金匮要略》,经方思路,规则级,是,规则级,温中补虚；降逆止痛,脾胃虚寒，心胸中大寒痛，呕不能食，腹中寒，上冲皮起，出见有头足，上下痛而不可触近,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
51,大承气汤,《伤寒论》,经方思路,规则级,是,规则级,峻下热结,阳明腑实证；热结旁流证；里热实证之热厥、痉病或发狂等,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
52,大柴胡汤,《金匮要略》,经方思路,规则级,是,规则级,和解少阳；内泻热结,少阳，阳明合病，往来寒热，胸胁苦满，呕不止，郁郁微烦，心下痞硬或满痛，大便秘结，或协热下利，舌苔黄，脉弦有力者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
53,大营煎,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,温经扶阳；养血填精,真阴精血亏损，以及妇人经迟血少，腰膝筋骨疼痛，阳痿,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：温经扶阳、养血填精、真阴精血亏损，以及妇人经迟血少，腰膝筋骨疼痛，阳痿,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
54,大补元煎,《景岳全书》,温补/扶阳思路,逐首勾选,是,逐首建议,救本培元；大补气血,气血大亏，精神失守之危剧病证,功效/主治以补虚、温肾、回阳、益气养血或固摄为核心：救本培元、大补气血、气血大亏，精神失守之危剧病证,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
55,大补阴丸,《丹溪心法》,滋阴/丹溪思路,逐首勾选,是,逐首建议,滋阴降火,肝肾阴虚，由虚生热，骨蒸潮热，盗汗，足膝疼热舌红少苔，尺脉数而有力,体现丹溪滋阴降火、湿热/痰火、郁证等学术取向：滋阴降火、肝肾阴虚，由虚生热，骨蒸潮热，盗汗，足膝疼热舌红少苔，尺脉数而有力,B-学术史资料+逐方功效主治,https://www.cntcm.com.cn/content/202306/21/c225799.html；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
56,大陷胸汤,《伤寒论》,经方思路,规则级,是,规则级,泻热逐水,结胸证，不大便五六日，舌上燥而渴，日晡小有潮热，从心下至少腹硬满而痛不可近，或短气烦躁，脉沉而紧，按之有力者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
57,大青龙汤,《伤寒论》,经方思路,规则级,是,规则级,发汗解表；兼清里热,外感风寒，兼有里热，恶寒发热，身疼痛，无汗烦躁，脉浮紧，亦治溢饮，见上述症状而兼喘咳面浮者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
58,大黄䗪虫丸,《金匮要略·血痹虚劳病脉证并治第六》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
59,大黄牡丹汤,《金匮要略》,经方思路,规则级,是,规则级,泻热破瘀；散结消肿,肠痈初起，右少腹疼痛拒按，甚则局部有痞块，发热恶寒，自汗出，或右足屈而不伸，苔黄腻，脉滑数者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
60,大黄蟅虫丸,《金匮要略》,经方思路,规则级,是,规则级,活血破瘀；通经消痞,五劳虚极所致正虚而致血瘀之证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
61,大黄附子汤,《金匮要略》,经方思路,规则级,是,规则级,温里散寒；通便止痛,寒邪与积滞互结肠道，胁下或腰胯偏痛，便秘，手足不温，苔白，脉紧弦,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
62,大黄黄连泻心汤,《伤寒论》,经方思路,规则级,是,规则级,泻热消痞；和胃开结,心下痞，按之濡，其脉关上浮者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
63,安宫牛黄丸,《温病条辨》,温病思路,规则级,是,规则级,清热解毒；开窍醒神,温热病，热邪内陷心包，痰热壅闭心窍，高热烦躁神昏谵语，或舌蹇肢厥，或下利脉实，以及中风窍闭，小儿惊厥属痰热内闭心窍者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
