序号,方名,出处,数据库记录的组成,味数,遮蔽更大方数量,被遮蔽的大方举例,机器裁定理由,【请填】组成是否与该方名相符,【请填】若不符，通行组成是,【请填】备注,规范方名建议,核定依据定位,核定依据链接,证据等级,核定日期
15,普救散,《洪氏集验方》,苍术、葛根、甘草,3,8,,普救散在《洪氏集验方》中有多种同名异方，组成不一，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《洪氏集验方》对应方/条文；按方名、卷次与药味共同定位,https://zhongyibaodian.com/hongshijiyanfang/,A/B（古籍电子全文或可靠全文转录）,2026-08-09
16,《三因》附、术附、参附三汤,《古今名医方论》,黄芪、附子、白术、人参,4,7,,《三因》附、术附、参附三汤为三方合称，具体组成不明，且同名异方可能，无法判定,否（复合条目，必须拆分）,芪附汤：黄芪、附子；术附汤：白术、附子；参附汤：人参、附子,原记录把三首方的药味并成一个集合，不能作为单一处方组成；题名还漏了“芪”字。,《三因》芪附、术附、参附三汤,《古今名医方论》对应方/条文；按方名、卷次与药味共同定位,https://www.zysj.com.cn/lilunshuji/gujinmingyifanglun/159.html,A（古籍全文/PDF定位）,2026-08-09
17,濡肠汤,《惠直堂经验方》,熟地黄、当归、肉苁蓉,3,7,,无法确切回忆《惠直堂经验方》中濡肠汤的通行组成，且该方名可能有多义。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
18,神功托里散,《验方新编》,金银花、黄芪、当归、甘草,4,7,,神功托里散在《验方新编》中的具体组成不确定，且同名方剂可能有多源，无法确证。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%A9%97%E6%96%B9%E6%96%B0%E7%B7%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
19,无名肿毒方,《惠直堂经验方》,当归、黄芪、甘草、金银花,4,7,,该方名在文献中不常见，无法确切回忆其通行组成，且同名异方可能较多。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 这是原书病证/条文题，不宜当作跨文献的固定成方名。,无名肿毒方（原书条文题）,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
20,正气汤,《医方考》,黄柏、知母、甘草,3,7,,正气汤在中医文献中有多种同名异方，无法确切回忆《医方考》中该方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方考》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E8%80%83,A/B（古籍电子全文或可靠全文转录）,2026-08-09
21,火齐汤,《医方简义》,黄连、黄柏、黄芩、栀子,4,6,,火齐汤在中医文献中有多种同名异方，且《医方简义》中的具体组成不详，无法确认。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方简义》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E7%B0%A1%E7%BE%A9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
22,蜜附汤,《三因极一病证方论》,附子、桂心、芍药、甘草,4,6,,蜜附汤在《三因极一病证方论》中有多种同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
23,卫生汤,《三因极一病证方论》,当归、白芍药、黄芪、甘草,4,6,,卫生汤在《三因极一病证方论》中有多个同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
24,温中汤,《三因极一病证方论》,厚朴、甘草、生姜、大枣,4,6,,温中汤在《三因极一病证方论》中有多个同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
25,消毒犀角饮子,《医方考》,牛蒡子、荆芥、防风、甘草,4,6,,该方名在文献中可能有多方，且无法确切回忆《医方考》中此方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 方名虽有“犀角”，《医方考》原方明确仅牛蒡子、荆芥、防风、甘草，并解释其功同犀角。,,《医方考》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E8%80%83,A/B（古籍电子全文或可靠全文转录）,2026-08-09
26,虚验方,《惠直堂经验方》,熟地黄、山茱萸、山药、茯苓、牡丹皮、泽泻,6,6,,方名'虚验方'在《惠直堂经验方》中未见通行记载，无法确认其组成。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名属于原书语境中的验方标签；组成对应六味地黄丸药味。,虚验方（原书条文题）,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
27,蟾酥丸,《惠直堂经验方》,朱砂、雄黄、麝香,3,5,,蟾酥丸在中医文献中有多种同名异方，且《惠直堂经验方》中该方的具体组成不确定，无法判断。,是（定量主药相符；制剂/煎服项另见备注）,朱砂、雄黄、麝香；制丸另用蟾酥,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 原条以蟾酥制丸；若按全制剂成分，应补列“蟾酥（制丸）”。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
28,和胃饮,《成方切用》,陈皮、厚朴、干姜、甘草,4,5,,和胃饮在中医文献中有多种同名异方，无法确切回忆《成方切用》中该方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
29,附子细辛汤,《三因极一病证方论》,麻黄、细辛、附子,3,4,,附子细辛汤在文献中有多种同名异方，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
30,黄苦酒汤,《三因极一病证方论》,黄芪、芍药、桂心,3,4,,无法确切回忆该方通行组成，且方名与组成对应关系不明,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
31,橘皮生姜汤,《三因极一病证方论》,橘皮、枳实、生姜,3,4,,橘皮生姜汤在文献中有多种同名异方，无法确切回忆通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
32,治伤寒中风方,《外台》卷二,桂枝、芍药、生姜、甘草、大枣,5,4,,方名过于泛化，且《外台》卷二所载治伤寒中风方可能有多首，无法确定通行组成。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 数据库把主治句当成方名；五味组成实际对应桂枝汤。,桂枝汤（《外台》引治伤寒中风方）,《外台》卷二对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%96%E8%87%BA%E7%A7%98%E8%A6%81/%E5%8D%B7%E7%AC%AC%E4%BA%8C,A/B（古籍电子全文或可靠全文转录）,2026-08-09
33,打板夹棍仙传膏,《验方新编》,乳香、没药、轻粉、血竭,4,3,,该方名在文献中不常见，无法确切回忆其通行组成，且同名异方可能性存在。,否（漏6项制剂成分）,制乳香、制没药、轻粉、血竭、冰片、麝香、樟脑、黄蜡、猪板油、儿茶,原记录只有前四味，漏冰片、麝香、樟脑、黄蜡、猪板油、儿茶；膏剂基质也属于完整制剂组成。,打板夹棍仙传膏,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%A9%97%E6%96%B9%E6%96%B0%E7%B7%A8/%E5%8D%B723,A/B（古籍电子全文或可靠全文转录）,2026-08-09
34,火吐方,《大小诸证方论》,茯苓、人参、砂仁、黄连,4,3,,无法确切回忆该方的通行组成，且方名不常见,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 “火吐方”是病证条目题，原文方名为清火止吐汤。,清火止吐汤（“火吐方”条下）,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
35,加减金匮肾气丸,《医方简义》,熟地黄、牡丹皮、泽泻、茯苓、山药、附子,6,3,,加减金匮肾气丸在《医方简义》中的具体组成不详，且同名方剂可能有多变，无法确认。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方简义》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E7%B0%A1%E7%BE%A9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
36,芎术汤,《三因极一病证方论》,川芎、白术、附子、甘草、桂心,5,3,,同名异方较多，无法确切回忆通行组成,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
37,增补伤科圣药七厘散,《验方新编》,朱砂、麝香、冰片、乳香,4,3,,该方名在文献中不常见，无法确切回忆其通行组成，且同名异方可能性存在。,否（漏4味）,朱砂、麝香、冰片、儿茶、乳香、没药、血竭、红花,原记录仅列朱砂、麝香、冰片、乳香，漏儿茶、没药、血竭、红花；题名宜回归原书“七厘散”。,七厘散（《验方新编》跌打损伤经验方）,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://www.theqi.com/simplified/cmed/oldbook/book57/b57_23.html,A/B（古籍电子全文或可靠全文转录）,2026-08-09
38,春泽汤,《医宗金鉴》,人参、白术、茯苓、泽泻、猪苓,5,2,,春泽汤在《医宗金鉴》中组成未确切回忆，且同名异方较多，无法判定,否（漏桂枝）,人参、白术、茯苓、泽泻、猪苓、桂枝,《医宗金鉴》释春泽汤为五苓散加人参；五苓散含桂，原记录漏桂枝。,春泽汤,《医宗金鉴》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%BE%A1%E7%BA%82%E9%86%AB%E5%AE%97%E9%87%91%E9%91%91_%28%E5%9B%9B%E5%BA%AB%E5%85%A8%E6%9B%B8%E6%9C%AC%29/%E5%8D%B731,A/B（古籍电子全文或可靠全文转录）,2026-08-09
39,大吐寒邪犯肾方,《大小诸证方论》,附子、白术、肉桂、干姜、人参,5,2,,该方名在文献中不常见，无法确切回忆其通行组成，且同名异方可能性存在。,是（组成相符；题名需规范/保留出处语境）,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 题名为病证描述式方名，组成在该条下可逐味核对。,大吐寒邪犯肾方（原书条文题）,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
40,当归补血汤加防风连翘方,《医方考》,当归、防风、黄芪、连翘,4,2,,当归补血汤加防风连翘方非通行方名，且《医方考》中未明确记载此方，无法确认其通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方考》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E8%80%83,A/B（古籍电子全文或可靠全文转录）,2026-08-09
41,扶正散邪汤,《大小诸证方论》,人参、白术、茯苓、半夏、柴胡、甘草,6,2,,无法确切回忆该方通行组成，且同名异方可能,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
42,茯苓汤,《三因极一病证方论》,茯苓、桂心、白术、甘草,4,2,,茯苓汤在《三因极一病证方论》中有多个同名方，组成各异，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
43,附子麻黄汤,《三因极一病证方论》,附子、麻黄、白术、干姜、甘草、人参,6,2,,附子麻黄汤在文献中有多种同名异方，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
44,干姜附子、茯苓四逆二方,《古今名医方论》,干姜、附子、茯苓、人参、甘草,5,2,,该方名并非单一成方，而是指干姜附子汤与茯苓四逆汤两个方剂，且《古今名医方论》中具体组成不详，无法判断。,否（复合条目，必须拆分）,干姜附子汤：干姜、附子；茯苓四逆汤：茯苓、人参、附子、甘草、干姜,原记录是两方药味的并集，不能当作一首方；应拆成两条数据库记录。,干姜附子汤、茯苓四逆汤（二方）,《古今名医方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-082-gujinmingyifanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
45,桂枝黄芩汤,《三因极一病证方论》,桂枝、芍药、黄芩、甘草,4,2,,桂枝黄芩汤在中医文献中有多种同名异方，无法确定通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
46,黄五物汤,《三因极一病证方论》,黄芪、芍药、肉桂,3,2,,黄五物汤在文献中不常见，无法确切回忆其通行组成，且同名异方可能，故判unknown。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
47,救右汤,《惠直堂经验方》,白术、人参、黄芪、半夏、茯苓、甘草,6,2,,无法确切回忆该方通行组成，且同名异方可能,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《惠直堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%83%A0%E7%9B%B4%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
48,坎离既济丹二,《古方汇精》,黄连、肉桂、甘草,3,2,,坎离既济丹二在《古方汇精》中的通行组成不确定，且同名异方可能，无法确切判断。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《古方汇精》对应方/条文；按方名、卷次与药味共同定位,https://www.zysj.com.cn/lilunshuji/gufanghuijing/113.html,A/B（古籍电子全文或可靠全文转录）,2026-08-09
49,木香丸,《医方集宜》,黄连、木香、肉豆蔻,3,2,,木香丸在中医文献中同名异方众多，无法确认《医方集宜》中该方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方集宜》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E9%9B%86%E5%AE%9C,A/B（古籍电子全文或可靠全文转录）,2026-08-09
50,人马平安散,《大小诸证方论》,雄黄、朱砂、冰片、麝香,4,2,,该方名在文献中有多种同名异方，且无法确切回忆《大小诸证方论》中此方的通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《大小诸证方论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E5%A4%A7%E5%B0%8F%E8%AB%B8%E8%AD%89%E6%96%B9%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
51,三解汤,《医方集解》,柴胡、麻黄、泽泻,3,2,,三解汤在《医方集解》中未见明确记载，且同名方剂组成多样，无法确认通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《医方集解》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%86%AB%E6%96%B9%E9%9B%86%E8%A7%A3,A/B（古籍电子全文或可靠全文转录）,2026-08-09
52,三辛散,《三因极一病证方论》,细辛、肉桂、干姜,3,2,,三辛散在文献中有多种同名异方，无法确切回忆通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
53,三星汤,《验方新编》,金银花、蒲公英、甘草,3,2,,三星汤在《验方新编》中未见明确记载，且同名方剂较多，无法确认通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《验方新编》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E9%A9%97%E6%96%B9%E6%96%B0%E7%B7%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
54,神效鸡清丸,《瑞竹堂经验方》,木香、黄连、肉豆蔻,3,2,,无法确切回忆该方的通行组成，且方名可能有多义。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《瑞竹堂经验方》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E7%91%9E%E7%AB%B9%E5%A0%82%E7%B6%93%E9%A9%97%E6%96%B9,A/B（古籍电子全文或可靠全文转录）,2026-08-09
55,圣术煎,《成方切用》,白术、干姜、肉桂、陈皮,4,2,,圣术煎在《成方切用》中的通行组成不确定，且同名异方可能，故判unknown。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《成方切用》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%88%90%E6%96%B9%E5%88%87%E7%94%A8,A/B（古籍电子全文或可靠全文转录）,2026-08-09
56,四苓汤,《温疫论》,茯苓、泽泻、猪苓、陈皮,4,2,,四苓汤在《温疫论》中组成可能为茯苓、泽泻、猪苓、白术，但记录中为陈皮，且同名异方较多，不确定。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《温疫论》对应方/条文；按方名、卷次与药味共同定位,https://zh.wikisource.org/wiki/%E6%BA%AB%E7%96%AB%E8%AB%96,A/B（古籍电子全文或可靠全文转录）,2026-08-09
57,万金汤,《三因极一病证方论》,甘草、没药、栝蒌,3,2,,万金汤在《三因极一病证方论》中未见明确记载，且同名方剂较多，无法确认通行组成。,是,,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
58,小竹沥汤,《三因极一病证方论》,秦艽、防风、附子、独活,4,2,,小竹沥汤在《三因极一病证方论》中的通行组成无法确切回忆，且同名异方可能性存在。,是（定量主药相符；制剂/煎服项另见备注）,秦艽、防风、附子、独活；煎服另加生地黄汁、竹沥,按所列出处的对应条文逐味核对；不以他书同名异方替代本条。 原条四味为主药，另加入生地黄汁、竹沥；若按全部入口成分，应一并记录。,,《三因极一病证方论》对应方/条文；按方名、卷次与药味共同定位,https://www.ishibashikomorebi.com/book-558-sanyinjiyibingzhengfanglun.pdf,A（古籍全文/PDF定位）,2026-08-09
