"序号","方名","出处","目录记录的组成","味数","【请填】芍药应为(白芍/赤芍)","【请填】依据(卷次/原文)","【请填】备注"
"11","杏子汤","三因极一病证方论","杏仁、半夏、五味子、芍药、桂心、细辛、干姜、大黄、甘草、茯苓","10","","暂不裁定：当前组成与《全生指迷方》《证治准绳》所载同名杏子汤均不一致；疑来源错配或相邻方合并，须先核《三因》卷次原文。","暂缓入库；先解决同名异方/组成错配。"
"12","柴胡加桂汤","三因极一病证方论","柴胡、半夏、甘草、芍药、黄芩、人参、桂枝","7","白芍","本方为柴胡剂合桂枝类方；桂枝类方中的芍药承担和营敛阴、缓急作用，后世规范多落白芍，按白芍裁定。","中置信；原书仍裸写，建议医生复核。"
"13","槟芍顺气汤","温疫论","槟榔、芍药、枳实、厚朴、大黄","5","白芍","《温疫论·下卷》槟芍顺气汤原文仍作“芍药”；同卷相近治疫痢的芍药汤明确写“白芍”，据同书平行方裁白芍。","中高置信；同书平行方明确，建议复核后入库。"
"14","止痛当归汤","总录","当归、生地黄、芍药、黄芪、人参、甘草、官桂","7","赤芍","《政和圣济总录》卷一百三十同方明载：“当归、黄芪、人参、桂、赤芍药、甘草、生干地黄”。","高置信；源书同方明确，可入库。"
"15","正阳汤","三因极一病证方论","白薇、玄参、川芎、桑白皮、当归、芍药、旋复花、甘草、生姜","9","白芍","《古今医统大全》同方仍作“芍药”；与当归、川芎、白薇、玄参同用，取养血和阴，按白芍裁定。","中置信；功能性裁定，建议医生复核。"
"16","沃雪汤","三因极一病证方论","苍术、干姜、甘草、防风、葛根、厚朴、芍药","7","白芍","《钦定古今图书集成·艺术典》第375卷同方明载：“苍术、干姜、甘草……防风、白芍药去皮、葛根、厚朴”。","高置信；同方异本明确，可入库。"
"17","治伤寒胸闷、腹满方","外台","苦酒、猪胆、柴胡、半夏、生姜、知母、芍药、大黄、葳蕤、黄芩、甘草、生地黄、大枣、芒硝","14","","暂不裁定：《外台秘要·集验方五首》显示猪胆/苦酒方与后接大柴胡汤等为分立处方；当前目录把数方组成串成一条。","暂缓入库；先拆分合抄处方。"
"18","治天行诸病方","外台》卷三","生姜、饴糖、灯心、麦门冬、人参、芦根、升麻、通草、射干、羚羊角、芍药、石膏、蜂蜜、滑石、葶苈子、大黄、桃皮、马","18","","暂不裁定：组成跨度异常且末尾出现单字“马”，疑多方合抄并伴抽取残片；未能形成可核对的单一处方。","暂缓入库；先回源重录并拆方。"
"19","治痔疮及谷道痒痛方","（《外台》卷二十六）","蛇蜕皮、鳖甲、皮、野葛、槐根、桃根、枳实、赤小豆、黄、附子、白蔹、桂心、芍药、黄芩、紫参、秦艽、乱发灰、紫菀、浓朴、本、雷丸、白芷、虫、贯众、猪后悬蹄甲、虻虫、石南、槐子、当归、连翘、干地黄、干姜、矾石、续断、生槐皮、槐赤鸡、玩月砂、乳香、绿矾、麝香、槐皮、甘草、陈豉、桃仁、菟丝子、鸡子黄、杏仁、胡粉、雄黄、苦酒、食盐","51","","暂不裁定：51味组成含“皮、黄、本、虫”等单字残片，且明显为多方串接；任何芍药品种判断都会固化错误条目。","暂缓入库；先回源重录并拆方。"
"20","疏邪饮","成方切用","芍药、柴胡、甘草、苏叶、荆芥穗","5","白芍","《成方切用·疏邪饮》：“芍药（酒炒）、柴胡、甘草、苏叶、荆芥穗”；酒炒用法及养阴和营方义对应白芍。","中高置信；炮制与方义一致，建议医生复核后入库。"
"21","石南散","三因极一病证方论","石南、天雄、山药、桃仁、芍药、甘菊花、甘草、升麻、葳蕤、黄芪、辰砂、石膏、山茱萸","13","","暂不裁定：《普济方》同方原文仍作“芍药”，且异本另有“芍药一作甘草”“桃花一作桃仁”等校异，底本尚不稳定。","暂缓入库；须先选定底本并处理校异。"
"22","肾热汤","千金","磁石、牡蛎、白术、麦冬、芍药、甘草、生地黄、大枣","8","白芍","《千金》及《成方切用·肾热汤》仍作“芍药”；后世加味肾热汤明确用白芍，且本方取养阴和营，裁白芍。","中置信；后世同方体系支持，建议医生复核。"
"23","麻黄升麻汤","三因极一病证方论","麻黄、升麻、黄芩、芍药、甘草、石膏、茯苓","7","赤芍","《普济方》卷120引危氏方原文仍作“芍药”，主“血随气壅，俗谓红汗”；按热壅血分、凉血散瘀方义裁赤芍。","中置信；功能性裁定，建议医生复核。"
"24","龙胆汤","三因极一病证方论","龙胆、柴胡、黄芩、桔梗、钩藤、芍药、甘草、茯苓、蜣螂、大黄","10","赤芍","《政和圣济总录》卷177同组成明载“人参、龙胆、钩藤、柴胡、黄芩、桔梗、赤芍药、茯神、当归、蜣螂、大黄”；后世《幼科心法要诀》亦作赤芍。","高置信；同方异本明确，可入库。"
