"序号","方名","唯一标识名","出处","章节边界","组成（含古方原量）","药味数","剂型/用法类别","原文用途","是否原书专名","处理类型","替换的原条目","芍药校勘","异文及校勘备注","证据网址"
"11","安中汤","安中汤〔《外台秘要》卷三十三·妊娠五月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠五月","炙甘草三两、芍药三两、当归二两、人参二两、干地黄二两、川芎二两、五味子五合、麦门冬一升（去心）、大麻仁五合、生姜六两、大枣三十五枚、黄芩一两","12","汤剂","曾伤五月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","《外台》作‘芍药’；宋本作‘芍药雪白者’，可映射白芍","","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"12","麦冬汤","麦冬汤〔《外台秘要》卷三十三·妊娠六月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠六月","麦门冬一升（去心）、炙甘草一两、人参一两、干地黄三两、黄芩二两、阿胶四两、生姜六两、大枣十五枚","8","汤剂","妊娠六月动胎不安、寒热、腹胀体肿、腹痛如欲产、手足烦疼","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","《外台》本题作‘麦冬汤’，后世多题‘麦门冬汤’，以出处限定名消歧。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"13","柴胡汤","柴胡汤〔《外台秘要》卷三十三·妊娠六月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠六月","柴胡四两、芍药二两、白术二两、炙甘草二两、麦门冬三两（去心）、肉苁蓉一两、川芎二两、干地黄五两、生姜六两、大枣三十枚","10","汤剂","曾伤六月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","原文‘芍药，一方作紫葳’；宋本注明芍药雪白者，基本方保留芍药并记录异文","黄芩二两为一方加味，不并入基本方。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"14","葱白汤","葱白汤〔《外台秘要》卷三十三·妊娠七月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠七月","葱白十四枚（长三四寸）、半夏一升（洗）、麦门冬一升（去心）、生姜八两、炙甘草三两、当归三两、黄芪三两、阿胶四两、人参一两半、黄芩一两、旋覆花一把","11","汤剂","妊娠七月惊恐摇动、腹痛、手足厥冷、烦热腹满短气、颈项腰背强","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","原合抄条目的单字‘黄’在此恢复为黄芪。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"15","杏仁汤","杏仁汤〔《外台秘要》卷三十三·妊娠七月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠七月","杏仁二两（去双仁皮尖）、炙甘草二两、钟乳二两（研）、麦门冬一两（去心）、吴茱萸一两、干姜二两、粳米五合、紫菀一两、五味子三合","9","汤剂","曾伤七月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","《外台》转录作麦门冬、吴茱萸各一两；《千金/普济方》有各一升、五味子五合等异文，不能混并。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"16","芍药汤","芍药汤〔《外台秘要》卷三十三·妊娠八月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠八月","芍药四分〔《千金》作四两〕、人参三两、当归三两、炙甘草三两、白术一两、炙厚朴二两、薤白一升、生姜四两","8","汤剂","妊娠八月中风寒、身体尽痛、寒热、胎动不安、腰背冷痛","是","章节拆分新增","妊娠随月养胎及服药方","《外台》电子本作‘芍药四分’，不擅改；《千金》作四两，异文并列","生姜四两据同系《千金》及宋本补足电子转录断行；剂量异文仍明确标注。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"17","葵子汤","葵子汤〔《外台秘要》卷三十三·妊娠八月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠八月","炙甘草三两、芍药二两（一方四两）、柴胡三两、葵子一升、白术三两、生姜六两、厚朴二两、大枣二十枚","8","汤剂","曾伤八月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","原文作‘芍药’，品种不强定","厚朴、大枣据同系传本补足电子转录断行；《千金》另有葵子二升、甘草二两等版本异文。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"18","半夏汤","半夏汤〔《外台秘要》卷三十三·妊娠九月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠九月","半夏五合（洗）、麦门冬五合（去心）、干姜一两、当归三两、吴茱萸三两、阿胶三两（炙）、大枣十二枚","7","汤剂","妊娠九月卒下痢、腹满悬急、胎上冲心、腰背痛、短气","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"19","猪肾汤","猪肾汤〔《外台秘要》卷三十三·妊娠九月〕","《外台秘要》卷三十三","《外台秘要》卷三十三·妊娠随月数服药及将息法一十九首·妊娠九月","猪肾一具、茯苓三两、桑寄生三两、干姜三两、干地黄三两、川芎三两、白术四两、麦门冬一升（去心）、炮附子中者一枚、大豆三合","10","汤剂","曾伤九月胎者预服","是","章节拆分新增","妊娠随月养胎及服药方","不涉及","十月条仅述五脏六腑俱备、俟时而生，不另造第十九首药方。","https://ctext.org/wiki.pl?chapter=782690&if=en&remap=gb"
"20","五痔辨证用药方","五痔辨证用药方〔《外台秘要》卷二十六引《集验》〕","《外台秘要》卷二十六引《集验》","《集验方》卷八·治痔疮及谷道痒痛方·五痔辨证段","蛇蜕皮（气痔主药）、鳖甲（牡痔主药）、猬皮（牝痔主药）、牡猪左悬蹄甲（肠痔主药）、露蜂房（脉痔主药）","5","散剂/外用","五痔分型使用；各等分，随证倍主药","否（据原文用途拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","原合抄单字‘皮’恢复为猬皮；五味是一个随证加倍的复方框架，不拆成五首单味方。","https://www.shidianguji.com/book/SK1428/chapter/1kf3sleq1jsii"
"21","野葛末方","野葛末方〔《外台秘要》卷二十六引《集验》·原书无专名〕","《外台秘要》卷二十六引《集验》","《集验方》卷八·治痔疮及谷道痒痛方·又方（野葛）","野葛末","1","散剂","五痔","否（据组成拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","野葛有毒；仅作古籍数据校勘，不作现代临床用药建议。","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"22","槐根洗方","槐根洗方〔《外台秘要》卷二十六引《集验》·原书无专名〕","《外台秘要》卷二十六引《集验》","《集验方》卷八·治痔疮及谷道痒痛方·又方（槐根）","槐根","1","洗剂","五痔","否（据组成拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"23","桃根洗方","桃根洗方〔《外台秘要》卷二十六引《集验》·原书无专名〕","《外台秘要》卷二十六引《集验》","《集验方》卷八·治痔疮及谷道痒痛方·又方（桃根）","桃根","1","洗剂","五痔","否（据组成拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"24","枳实蜜丸方","枳实蜜丸方〔《证类本草》卷十三·原书无专名〕","《证类本草》卷十三","《集验方》卷八·治痔疮及谷道痒痛方·治五痔不以年月日久新方","枳实","1","丸剂","五痔，不论久新","否（据组成拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","炼蜜为丸属于制法辅料，不计药味数。","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"25","五痔散","五痔散〔《外台秘要》卷二十六〕","《外台秘要》卷二十六引《短剧》","《集验方》卷八·治痔疮及谷道痒痛方·五痔散","赤小豆四分（熬）、黄芪三分、炮附子一分、白蔹一分、桂心一分、芍药二分、黄芩二分","7","散剂","酒客劳损，下部旁孔出血","是","章节拆分新增","治痔疮及谷道痒痛方","原文仅作‘芍药’，不强改品种","原合抄单字‘黄’恢复为黄芪；‘附子（包）’按上下文校为炮附子。","https://www.shidianguji.com/book/SK1428/chapter/1kf3sleq1jsii"
"26","紫参丸","紫参丸〔《外台秘要》卷二十六〕","《外台秘要》卷二十六","《集验方》卷八·治痔疮及谷道痒痛方·紫参丸","紫参一两、秦艽一两、乱发灰一两、紫菀一两、炙厚朴一两、藁本二两、雷丸半升、白芷一两、蟅虫半两（熬）、贯众三两（去毛）、猪后悬蹄甲十四枚（炙）、虻虫半两（去翅足，熬）、石南半两（炙）","13","丸剂","五痔清血、肛边痒、脓血、鼠乳；兼脱肛","是","章节拆分新增","治痔疮及谷道痒痛方","不涉及","‘浓朴’规范为厚朴；‘本’恢复为藁本；‘虫’恢复为蟅虫（䗪虫，现代常称土鳖虫）。羊髓、猪脂为制丸辅料，不计十三味。","https://www.shidianguji.com/book/SK1428/chapter/1kf3sleq1jsii"
"27","猬皮丸","猬皮丸〔《外台秘要》卷二十六〕","《外台秘要》卷二十六","《集验方》卷八·治痔疮及谷道痒痛方·猬皮丸","槐子三两、炮附子二两、当归二两、连翘二两、干地黄五两、干姜二两、矾石二两（烧令汁尽）、续断一两、黄芪一两、猬皮一具（细切，熬）","10","丸剂","痔","是","章节拆分新增","治痔疮及谷道痒痛方","不涉及","原合抄单字‘黄’恢复为黄芪，单字‘皮’恢复为猬皮。","https://www.shidianguji.com/book/SK1428/chapter/1kf3sleq1jsii"
"28","生槐皮纳肛方","生槐皮纳肛方〔《外台秘要》卷二十六·原书无专名〕","《外台秘要》卷二十六","《集验方》卷八·治痔疮及谷道痒痛方·又方（生槐皮）","生槐皮十两（削去黑皮）","1","外用丸/纳肛","痔","否（据组成与用法拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"29","槐赤鸡散","槐赤鸡散〔《外台秘要》卷二十六·原书无专名〕","《外台秘要》卷二十六","《集验方》卷八·治痔疮及谷道痒痛方·又方（槐赤鸡）","槐赤鸡一斤","1","散剂","痔","否（据组成与剂型拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","‘槐赤鸡’按原文作为一个古药名保留，不误拆为‘槐’与‘赤鸡’。","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"30","玩月砂乳香散","玩月砂乳香散〔《证类本草》卷十七·原书无专名〕","《证类本草》卷十七","《集验方》卷八·治痔疮及谷道痒痛方·治痔疾下血疼痛不止方","玩月砂二钱（兔粪，慢火熬黄）、乳香半钱","2","散剂","痔疾下血、疼痛不止","否（据组成与剂型拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"31","洗痔方","洗痔方〔《证类本草》卷十一〕","《证类本草》卷十一","《集验方》卷八·治痔疮及谷道痒痛方·洗痔方","连翘、绿矾（刀上飞）、麝香","3","洗剂兼贴敷","痔","是","章节拆分新增","治痔疮及谷道痒痛方","不涉及","连翘煎汤洗；绿矾入麝香贴。原文未载剂量，不补造。","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"32","槐皮膏","槐皮膏〔《外台秘要》卷二十六〕","《外台秘要》卷二十六引《短剧》","《集验方》卷八·治痔疮及谷道痒痛方·槐皮膏","槐皮五两、甘草二两、当归二两、白芷二两、陈豉五十粒、桃仁五十粒（去皮）、赤小豆二合","7","膏剂/外涂","谷道中痒痛、痔疮","是","章节拆分新增","治痔疮及谷道痒痛方","不涉及","猪脂二升为制膏基质，不计入原文‘上七味’。另有传本将陈豉作楝子，当前按《集验方》汇录文本保留陈豉。","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"33","菟丝子鸡子黄涂方","菟丝子鸡子黄涂方〔《医心方》卷七·原书无专名〕","《医心方》卷七","《集验方》卷八·治痔疮及谷道痒痛方·治谷道赤痛方","菟丝子（熬令黄黑）、鸡子黄","2","外涂剂","谷道赤痛","否（据组成与用法拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"34","杏仁脂涂方","杏仁脂涂方〔《医心方》卷七·原书无专名〕","《医心方》卷七","《集验方》卷八·治痔疮及谷道痒痛方·又方（杏仁）","杏仁（熬黄，捣作脂）","1","外涂剂","谷道赤痛","否（据组成与用法拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"35","胡粉雄黄散","胡粉雄黄散〔《医心方》卷七·原书无专名〕","《医心方》卷七","《集验方》卷八·治痔疮及谷道痒痛方·治虫食下部方","胡粉、雄黄","2","外用散剂","虫食下部","否（据组成与剂型拟名）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","二味等分；含铅/砷类历史药物，仅作古籍数据校勘。","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
"36","杏仁汤","杏仁汤〔《医心方》卷七·蛲虫〕","《医心方》卷七","《集验方》卷八·治痔疮及谷道痒痛方·治蛲虫杏仁汤方","杏仁五十枚、苦酒三升、食盐一合","3","汤剂","蛲虫","是（方题作杏仁汤）","章节拆分新增","治痔疮及谷道痒痛方","不涉及","原电子抽取在‘蛲虫’处失字；本条按《医心方》卷七语境恢复。与妊娠七月‘杏仁汤’必须以出处限定名区分。","https://zh.wikisource.org/zh-hans/%E9%9B%86%E9%A9%97%E6%96%B9"
