"方名","出处","推导流派","确认方式","逐首确认(是/否/留空)"
"柴胡达原饮","《重订通俗伤寒论》","经方思路","规则级",""
"柴胡陷胸汤","《通俗伤寒论》","经方思路","规则级",""
"栀子大黄汤","《金匮要略》","经方思路","规则级",""
"栀子柏皮汤","《伤寒论》","经方思路","规则级",""
"栀子金花丸","《景岳全书》","温补/扶阳思路","逐首勾选",""
"桂枝人参汤","《伤寒论》","经方思路","规则级",""
"桂枝加厚朴杏子汤","《伤寒论》","经方思路","规则级",""
"桂枝加葛根汤","《伤寒论》第17条","经方思路","规则级",""
"桂枝汤","《伤寒论》","经方思路","规则级",""
"桂枝甘草龙骨牡蛎汤","《伤寒论》","经方思路","规则级",""
"桂枝芍药知母汤","《金匮要略·中风历节病脉证并治第五》","经方思路","规则级",""
"桂枝茯苓丸","《金匮要略》","经方思路","规则级",""
"桂枝麻黄各半汤","《伤寒论》","经方思路","规则级",""
"桃核承气汤","《伤寒论》","经方思路","规则级",""
"桃花汤","《伤寒论》","经方思路","规则级",""
"桑杏汤","《温病条辨》","温病思路","规则级",""
"桑白皮汤","《景岳全书》","温补/扶阳思路","逐首勾选",""
"桑菊饮","《温病条辨》","温病思路","规则级",""
"桔梗杏仁煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"橘皮竹茹汤","《金匮要略》","经方思路","规则级",""
"正柴胡饮","《景岳全书》","温补/扶阳思路","逐首勾选",""
"毓麟珠","《景岳全书》","温补/扶阳思路","逐首勾选",""
"沙参麦冬汤","《温病条辨》","温病思路","规则级",""
"法半夏厚朴汤","《金匮要略》","经方思路","规则级",""
"泰山磐石散","《景岳全书》","温补/扶阳思路","逐首勾选",""
"泻心汤","《金匮要略》","经方思路","规则级",""
"泽泻汤","《金匮要略》","经方思路","规则级",""
"济川煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"济生肾气丸","《金匮要略》","经方思路","规则级",""
"清宫汤","《温病条辨》","温病思路","规则级",""
"清暑益气汤","《温热经纬》","温病思路","规则级",""
"清络饮","《温病条辨》","温病思路","规则级",""
"清营汤","《金匮要略》","经方思路","规则级",""
"炙甘草汤","《伤寒论》","经方思路","规则级",""
"独参汤","《景岳全书》","温补/扶阳思路","逐首勾选",""
"猪苓汤","《伤寒论》","经方思路","规则级",""
"玉女煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"理中丸","《伤寒论》","经方思路","规则级",""
"理中汤","《伤寒论》","经方思路","规则级",""
"瓜蒂散","《伤寒论》","经方思路","规则级",""
"瓜蒌桂枝汤","《金匮要略》","经方思路","规则级",""
"瓜蒌薤白半夏汤","《金匮要略》","经方思路","规则级",""
"瓜蒌薤白白酒汤","《金匮要略》","经方思路","规则级",""
"甘姜苓术汤","《金匮要略》","经方思路","规则级",""
"甘草泻心汤","《伤寒论》","经方思路","规则级",""
"甘露消毒丹","《温热经纬》","温病思路","规则级",""
"甘麦大枣汤","《金匮要略》","经方思路","规则级",""
"痛泻要方","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"白头翁汤","《伤寒论》","经方思路","规则级",""
"白虎加人参汤","《伤寒论》","经方思路","规则级",""
"白虎加桂枝汤","《金匮要略》","经方思路","规则级",""
"白虎汤","《伤寒论》","经方思路","规则级",""
"益胃汤","《温病条辨》","温病思路","规则级",""
"真武汤","《伤寒论》","经方思路","规则级",""
"礞石滚痰丸","《丹溪心法附余》","滋阴/丹溪思路","逐首勾选",""
"竹叶石膏汤","《伤寒论》","经方思路","规则级",""
"紫金锭","《丹溪心法附余》","滋阴/丹溪思路","逐首勾选",""
"羚角钩藤汤","《通俗伤寒论》","经方思路","规则级",""
"翘荷汤","《温病条辨》","温病思路","规则级",""
"耳聋左慈丸","《重订广温热论》","温病思路","规则级",""
"胃苓汤","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"胎元饮","《景岳全书》","温补/扶阳思路","逐首勾选",""
"胶艾汤","《金匮要略》","经方思路","规则级",""
"脱花煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"芍药甘草汤","《伤寒论》","经方思路","规则级",""
"苏叶黄连汤","《温热经纬》","温病思路","规则级",""
"苓桂术甘汤","《金匮要略》","经方思路","规则级",""
"苓甘五味姜辛汤","《金匮要略》","经方思路","规则级",""
"茜根散","《景岳全书》","温补/扶阳思路","逐首勾选",""
"茵陈五苓散","《金匮要略》","经方思路","规则级",""
"茵陈蒿汤","《伤寒论》","经方思路","规则级",""
"萆薢分清散","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"葛根汤","《伤寒论》","经方思路","规则级",""
"葛根芩连汤合升阳除湿汤","《伤寒论》、《兰室秘藏》","经方思路","规则级",""
"葛根黄芩黄连汤","《伤寒论》","经方思路","规则级",""
"葶苈大枣泻肺汤","《金匮要略》","经方思路","规则级",""
"蒿芩清胆汤","《通俗伤寒论》","经方思路","规则级",""
"薏苡附子败酱散","《金匮要略》","经方思路","规则级",""
"虎潜丸","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"血府逐瘀汤","《伤寒论》","经方思路","规则级",""
"解肝煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"调胃承气汤","《伤寒论》","经方思路","规则级",""
"越婢加半夏汤","《金匮要略》","经方思路","规则级",""
"越婢加术汤","《金匮要略》","经方思路","规则级",""
"越婢汤","《金匮要略》","经方思路","规则级",""
"越鞠丸","《丹溪心法》","滋阴/丹溪思路","逐首勾选",""
"连梅安蛔丸","《通俗伤寒论》","经方思路","规则级",""
"连梅汤","《温病条辨》","温病思路","规则级",""
"通瘀煎","《景岳全书》","温补/扶阳思路","逐首勾选",""
"酸枣仁汤","《金匮要略》","经方思路","规则级",""
"金匮肾气丸","《金匮要略》","经方思路","规则级",""
"银翘散","《温病条辨》","温病思路","规则级",""
"防己黄芪汤","《金匮要略》","经方思路","规则级",""
"阿胶鸡子黄汤","《通俗伤寒论》","经方思路","规则级",""
"附子汤","《伤寒论》第304、305条","经方思路","规则级",""
"附子泻心汤","《伤寒论》","经方思路","规则级",""
"附子粳米汤","《金匮要略》","经方思路","规则级",""
"青蒿鳖甲汤","《温病条辨》","温病思路","规则级",""
"鳖甲煎丸","《金匮要略》","经方思路","规则级",""
"麦门冬汤","《金匮要略》","经方思路","规则级",""
"麻子仁丸","《伤寒论》","经方思路","规则级",""
"麻黄杏仁甘草石膏汤","《伤寒论》","经方思路","规则级",""
"麻黄杏仁薏苡甘草汤","《金匮要略》","经方思路","规则级",""
"麻黄汤","《伤寒论》","经方思路","规则级",""
"麻黄细辛附子汤","《伤寒论》","经方思路","规则级",""
"麻黄连翘赤小豆汤","《伤寒论》","经方思路","规则级",""
"麻黄附子甘草汤","《伤寒论》","经方思路","规则级",""
"黄土汤","《金匮要略》","经方思路","规则级",""
"黄芩人参汤","《伤寒论》","经方思路","规则级",""
"黄芩汤","《伤寒论》","经方思路","规则级",""
"黄芩滑石汤","《温病条辨》","温病思路","规则级",""
"黄芪建中汤","《金匮要略》","经方思路","规则级",""
"黄芪桂枝五物汤","《金匮要略》","经方思路","规则级",""
"黄连阿胶汤","《伤寒论》","经方思路","规则级",""
"黎峒丸","《景岳全书》","温补/扶阳思路","逐首勾选",""
